timestamp,temperature_celsius,heart_rate_bpm,motion_detected,latitude,longitude,health_status
06:00,39.6,69,1,11.015186,77.026402,healthy
06:01,38.5,71,0,11.017035,77.021201,healthy
06:02,38.2,72,0,11.01497,77.020043,healthy
06:03,39.0,74,0,11.016109,77.020248,healthy
06:04,38.8,56,1,11.015141,77.017786,healthy
06:05,39.1,89,0,11.014909,77.017099,healthy
06:06,38.4,47,0,11.015954,77.0212,lethargy
06:07,39.0,53,0,11.010871,77.018676,lethargy
06:08,37.9,92,0,11.013722,77.023222,healthy
06:09,38.3,93,0,11.015766,77.024495,healthy
06:10,38.8,68,0,11.015333,77.020143,healthy
06:11,38.4,76,0,11.01213,77.021003,healthy
06:12,38.5,89,1,11.014208,77.018472,healthy
06:13,39.6,71,0,11.014233,77.01822,healthy
06:14,37.9,62,0,11.012356,77.015663,healthy
06:15,39.0,82,0,11.018007,77.019575,healthy
06:16,38.8,83,1,11.01425,77.021261,healthy
06:17,39.5,73,1,11.015831,77.018153,healthy
06:18,38.5,67,1,11.018834,77.017224,healthy
06:19,39.1,81,1,11.014976,77.019849,healthy
06:20,38.2,74,0,11.017309,77.020758,healthy
06:21,39.0,60,0,11.015783,77.017114,healthy
06:22,38.9,68,1,11.015072,77.018965,healthy
06:23,38.1,68,1,11.018435,77.019084,healthy
06:24,38.4,78,0,11.015438,77.022713,healthy
06:25,39.1,67,0,11.015044,77.019142,healthy
06:26,38.2,95,0,11.016851,77.016544,healthy
06:27,39.5,72,1,11.016928,77.020567,healthy
06:28,38.2,70,1,11.014602,77.018774,healthy
06:29,37.8,71,0,11.011096,77.020747,healthy
06:30,38.2,80,0,11.012474,77.016978,healthy
06:31,37.8,67,0,11.015029,77.016413,healthy
06:32,38.5,83,0,11.01794,77.021116,healthy
06:33,38.7,81,0,11.017413,77.021961,healthy
06:34,38.0,79,1,11.014815,77.021116,healthy
06:35,38.3,76,1,11.015953,77.022225,healthy
06:36,38.2,81,0,11.016108,77.017074,healthy
06:37,37.2,55,0,11.016922,77.021122,lethargy
06:38,37.8,82,1,11.015515,77.019443,healthy
06:39,37.6,82,0,11.01226,77.021462,healthy
06:40,38.4,88,1,11.012282,77.022097,healthy
06:41,38.8,94,0,11.011179,77.021273,healthy
06:42,39.2,76,0,11.013458,77.022778,healthy
06:43,39.1,71,0,11.0156,77.021622,healthy
06:44,38.3,72,0,11.014831,77.020834,healthy
06:45,38.3,65,1,11.015951,77.018853,healthy
06:46,38.2,75,1,11.017666,77.018367,healthy
06:47,38.1,75,0,11.014561,77.019545,healthy
06:48,38.0,75,0,11.014611,77.019976,healthy
06:49,39.1,47,1,11.015793,77.022343,healthy
06:50,39.3,70,1,11.015779,77.021331,healthy
06:51,38.4,68,0,11.017551,77.020039,healthy
06:52,39.0,60,0,11.013683,77.021193,healthy
06:53,38.0,74,0,11.014629,77.020877,healthy
06:54,38.6,86,0,11.013114,77.020982,healthy
06:55,38.8,73,0,11.017489,77.021628,healthy
06:56,37.5,79,1,11.015026,77.019038,healthy
06:57,39.0,85,0,11.013994,77.021278,healthy
06:58,38.6,91,0,11.016614,77.021227,healthy
06:59,38.1,65,0,11.01039,77.021807,healthy
07:00,38.2,49,0,11.014981,77.019667,lethargy
07:01,38.4,54,1,11.015944,77.017797,healthy
07:02,37.8,85,0,11.014877,77.020367,healthy
07:03,39.1,80,0,11.018676,77.020017,healthy
07:04,39.6,67,0,11.015153,77.021555,healthy
07:05,38.4,56,1,11.014859,77.022786,healthy
07:06,37.9,57,1,11.01422,77.021012,healthy
07:07,39.1,52,1,11.013272,77.018771,healthy
07:08,40.3,67,0,11.015588,77.018422,fever
07:09,38.5,79,0,11.016192,77.019892,healthy
07:10,37.6,89,0,11.014193,77.018836,healthy
07:11,37.8,68,0,11.015781,77.017118,healthy
07:12,38.5,73,0,11.012554,77.023151,healthy
07:13,38.1,60,0,11.015842,77.021544,healthy
07:14,39.6,66,0,11.010513,77.020888,healthy
07:15,38.8,74,1,11.014834,77.020145,healthy
07:16,37.2,75,0,11.013593,77.019654,hypothermia
07:17,39.0,67,0,11.014028,77.020459,healthy
07:18,38.2,65,1,11.011115,77.022069,healthy
07:19,37.6,71,0,11.015244,77.023558,healthy
07:20,38.6,60,0,11.015473,77.019834,healthy
07:21,36.9,51,1,11.014383,77.018105,hypothermia
07:22,36.8,56,0,11.012841,77.017242,lethargy
07:23,39.0,76,1,11.01323,77.019426,healthy
07:24,37.6,86,0,11.019512,77.021405,healthy
07:25,38.9,77,0,11.012137,77.020868,healthy
07:26,38.7,55,0,11.014831,77.019395,lethargy
07:27,38.1,86,1,11.016987,77.022625,healthy
07:28,38.1,56,1,11.012949,77.019653,healthy
07:29,38.6,69,0,11.013671,77.017232,healthy
07:30,38.8,66,0,11.014981,77.017502,healthy
07:31,38.2,63,0,11.013566,77.021825,healthy
07:32,38.5,81,0,11.017071,77.02182,healthy
07:33,38.9,79,0,11.019364,77.01834,healthy
07:34,38.9,70,0,11.014681,77.022269,healthy
07:35,37.8,76,0,11.014784,77.018552,healthy
07:36,38.2,83,0,11.0175,77.020114,healthy
07:37,37.3,76,0,11.01645,77.022152,hypothermia
07:38,38.7,64,1,11.016781,77.023309,healthy
07:39,38.7,80,0,11.012641,77.02164,healthy
